イベント名,イベント名(英語),カテゴリ,開始日,終了日,イベント説明,イベント説明(英語),開催場所について,イベントスケジュールについて,イベント開始時刻,イベント終了時刻,利用料金,問合先,問合先電話番号,主催者,開催場所施設名,駐車場有無,緯度,経度,対象地区,画像URL,ホームページアドレス,情報変更日時,情報作成日時
豊地区　〜ハーフバースデイ事業〜,"",子育て,2021/06/10,2021/06/10,豊地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市豊公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市豊公民館,"",35.945984,136.152168,豊地区,http://www.city.sabae.fukui.jp/bin/000722-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yutakakominkan/yutakakominkan.html,"",""
子育て支援センタ−　「子育て講座」　どの子も通る基本の道すじ,"",子育て,2021/06/11,2021/06/11,講師：臨床発達心理士　富田純子氏　＊全体へのお話後、お子さんの遊んでいる様子を見ながら個別相談ができます。,"",鯖江市子育て支援センターにじいろ,10:00〜11：30,10:00,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市子育て支援センタ−にじいろ,"",35.9491,136.1843,"",http://www.city.sabae.fukui.jp/users/ch/center/img/gaikan.jpg,https://www.city.sabae.fukui.jp/kosodate_site/tsudou/shiencenter.html,"",""
神明鳥羽地区　〜神明地区ハーフバースデイ事業〜,"",子育て,2021/06/14,2021/06/14,神明地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市神明公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
立待地区　〜ハーフバースデイ事業〜,"",子育て,2021/06/16,2021/06/16,立待地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市立待公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
片上地区　〜子育てひろば〜,"",子育て,2021/06/16,2021/06/16,地区限定　　　　＊問合せ・・・片上公民館（℡51‐4801）,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
新横江地区　〜バレトンに挑戦！〜,"",子育て,2021/06/17,2021/06/17,地区限定　申込制　講師：桑野美佳氏　　＊申込・詳細・・・新横江公民館（℡51‐2969）へ,"",鯖江市新横江公民館,10:00〜,10:00,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
中河地区　〜骨盤体操でリフレッシュ＆すくすく育児相談〜,"",子育て,2021/06/17,2021/06/17,地区限定　申込制　　講師：宮本真由美氏　　＊申込・詳細・・・中河公民館（℡51-3102）,"",鯖江市中河公民館,10:00〜,10:00,"","",鯖江市中河公民館,0778-51-3102,"",鯖江市中河公民館,"",35.956213,136.208984,中河地区,http://www.city.sabae.fukui.jp/bin/000699-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/nakagawakominkan/nakagawakominkan.html,"",""
新横江地区　〜ハーフバースデイ事業〜,"",子育て,2021/06/18,2021/06/18,新横江地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市新横江公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
神明鳥羽地区　〜鳥羽地区ハーフバースデイ事業〜,"",子育て,2021/06/21,2021/06/21,鳥羽地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市神明公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
神明鳥羽地区　〜親子ヨガ教室〜,"",子育て,2021/06/22,2021/06/22,対象：1歳児まで　地区限定　＊申込制　講師：高木和紀氏　　＊申込・詳細・・・神明公民館（℡51‐5065）へ,"",鯖江市神明公民館,10:00〜,10:00,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
豊地区　〜ママヨガ〜,"",子育て,2021/06/24,2021/06/24,地区限定　講師：奥井麻結氏　申込・詳細・・・豊公民館（℡62−1011）,"",鯖江市豊公民館,10:00〜,10:00,"","",鯖江市豊公民館,0778-62-1011,"",鯖江市豊公民館,"",35.945984,136.152168,豊地区,http://www.city.sabae.fukui.jp/bin/000722-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yutakakominkan/yutakakominkan.html,"",""
吉川地区　〜ハーフバースデイ事業〜,"",子育て,2021/06/25,2021/06/25,吉川地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市吉川公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
河和田地区　〜七夕飾りを作りましょう〜,"",子育て,2021/06/25,2021/06/25,地区限定　＊申込・詳細・・・河和田公民館（℡65‐0001）へ　,"",鯖江市河和田公民館,10:00〜,10:00,"","",鯖江市河和田公民館,0778-65-0001,"",鯖江市河和田公民館,"",35.951021,136.274053,河和田地区,http://www.city.sabae.fukui.jp/bin/000098-04-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kawadakominkan/kawadakominkan.html,"",""
神明鳥羽地区　〜神明地区ハーフバースデイ事業〜,"",子育て,2021/06/28,2021/06/28,神明地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市神明公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
子育て支援センタ−　助産師相談会,"",子育て,2021/06/30,2021/06/30,講師：助産師 吉田美里氏　,"",鯖江市子育て支援センタ−にじいろ,14:00〜15:00,14:00,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市子育て支援センタ−にじいろ,"",35.9491,136.1843,"",http://www.city.sabae.fukui.jp/users/ch/center/img/gaikan.jpg,https://www.city.sabae.fukui.jp/kosodate_site/tsudou/shiencenter.html,"",""
鯖江地区　〜骨盤体操〜,"",子育て,2021/06/30,2021/06/30,講師：宮本真由美氏　　　地区限定　＊申込制・・・申込・問合せ・・・鯖江公民館（℡51‐3010）,"",ふれあいみんなの館・さばえ,10:00〜,10:00,"","",鯖江市鯖江公民館,0778-51-3010,"",ふれあいみんなの館・さばえ,"",35.93766,136.179764,"","",https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/fureaiminnanoyakata.html,"",""
神明鳥羽地区　〜神明地区ハーフバースデイ事業〜,"",子育て,2021/07/01,2021/07/01,神明地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市神明公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
新横江地区　〜七夕飾りを作ろう〜,"",子育て,2021/07/01,2021/07/01,地区限定　申込制　　＊申込・詳細・・・新横江公民館（℡51‐2969）へ,"",鯖江市新横江公民館,10:00〜,10:00,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
子育て支援センタ−　土曜日開放（AMのみ）,"",子育て,2021/07/03,2021/07/03,前日までに電話予約をお願します。　定員10組,"",鯖江市子育て支援センターにじいろ,09:00〜11：45,09:00,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市子育て支援センタ−にじいろ,"",35.9491,136.1843,"",http://www.city.sabae.fukui.jp/users/ch/center/img/gaikan.jpg,https://www.city.sabae.fukui.jp/kosodate_site/tsudou/shiencenter.html,"",""
神明鳥羽地区　〜鳥羽地区ハーフバースデイ事業〜,"",子育て,2021/07/05,2021/07/05,鳥羽地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市神明公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
立待地区　〜みんなで遊ぼう＆地区ですくすく育児相談〜,"",子育て,2021/07/05,2021/07/05,地区限定　申込制　　　＊問合せ・・・立待公民館（℡51‐3376）,"",鯖江市立待公民館,10:00〜,10:00,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
子育て支援センタ−　栄養士相談会,"",子育て,2021/07/06,2021/07/06,講師：保育幼児教育課 管理栄養士　川端晃代氏　,"",鯖江市子育て支援センターにじいろ,10:00〜11：30,10:00,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市子育て支援センタ−にじいろ,"",35.9491,136.1843,"",http://www.city.sabae.fukui.jp/users/ch/center/img/gaikan.jpg,https://www.city.sabae.fukui.jp/kosodate_site/tsudou/shiencenter.html,"",""
鯖江地区　〜ハーフバースデイ事業〜,"",子育て,2021/07/07,2021/07/07,鯖江地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市子育て支援センターにじいろ,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市子育て支援センタ−にじいろ,"",35.9491,136.1843,"",http://www.city.sabae.fukui.jp/users/ch/center/img/gaikan.jpg,https://www.city.sabae.fukui.jp/kosodate_site/tsudou/shiencenter.html,"",""
豊地区　〜ハーフバースデイ事業〜,"",子育て,2021/07/08,2021/07/08,豊地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市豊公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市豊公民館,"",35.945984,136.152168,豊地区,http://www.city.sabae.fukui.jp/bin/000722-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yutakakominkan/yutakakominkan.html,"",""
北中山地区　〜親子でタッチング〜,"",子育て,2021/07/09,2021/07/09,地区限定　講師：高橋有希子氏　　絵本の貸し出しもあります。　　詳細・・・北中山公民館（℡65−1001）,"",鯖江市北中山公民館,10:00〜,10:00,"","",鯖江市北中山公民館,0778-65-1001,"",鯖江市北中山公民館,"",35.95175,136.237798,"","",https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kitanakayama/kitanakayamakominkan.html,"",""
片上地区　〜ハーフバースデイ事業〜,"",子育て,2021/07/12,2021/07/12,片上地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市片上公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
鯖江地区　〜ハーフバースデイ事業〜,"",子育て,2021/07/13,2021/07/13,鯖江地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市子育て支援センターにじいろ,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市子育て支援センタ−にじいろ,"",35.9491,136.1843,"",http://www.city.sabae.fukui.jp/users/ch/center/img/gaikan.jpg,https://www.city.sabae.fukui.jp/kosodate_site/tsudou/shiencenter.html,"",""
子育て支援センタ−　赤ちゃんとママのヨガ,"",子育て,2021/07/14,2021/07/14,講師：内山 絵理氏　＊電話予約をお待ちしています。,"",鯖江市子育て支援センタ−にじいろ,14:00〜15:00,14:00,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市子育て支援センタ−にじいろ,"",35.9491,136.1843,"",http://www.city.sabae.fukui.jp/users/ch/center/img/gaikan.jpg,https://www.city.sabae.fukui.jp/kosodate_site/tsudou/shiencenter.html,"",""
河和田地区　〜ハーフバースデイ事業〜,"",子育て,2021/07/14,2021/07/14,河和田地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市河和田コミュニティセンター,10:30〜,10:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
鯖江地区　〜かわいい手形をとろう〜,"",子育て,2021/07/14,2021/07/14,地区限定　　定員20組　　＊申込制・・・申込・問合せ・・・鯖江公民館（℡51‐3010）,"",ふれあいみんなの館・さばえ,10:00〜,10:00,"","",鯖江市鯖江公民館,0778-51-3010,"",ふれあいみんなの館・さばえ,"",35.93766,136.179764,"","",https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/fureaiminnanoyakata.html,"",""
中河地区　〜ハーフバースデイ事業〜,"",子育て,2021/07/15,2021/07/15,中河地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市中河公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市中河公民館,"",35.956213,136.208984,中河地区,http://www.city.sabae.fukui.jp/bin/000699-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/nakagawakominkan/nakagawakominkan.html,"",""
吉川地区　〜ハーフバースデイ事業〜,"",子育て,2021/07/16,2021/07/16,吉川地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市吉川公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
子育て支援センタ−　土曜日開放（AMのみ）,"",子育て,2021/07/17,2021/07/17,前日までに電話予約をお願します。　定員10組,"",鯖江市子育て支援センターにじいろ,09:00〜11：45,09:00,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市子育て支援センタ−にじいろ,"",35.9491,136.1843,"",http://www.city.sabae.fukui.jp/users/ch/center/img/gaikan.jpg,https://www.city.sabae.fukui.jp/kosodate_site/tsudou/shiencenter.html,"",""
子育て支援センタ−　ことばの相談会,"",子育て,2021/07/20,2021/07/20,講師：言語聴覚士　梅澤邦江氏　,"",鯖江市子育て支援センターにじいろ,10:00〜,10:00,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市子育て支援センタ−にじいろ,"",35.9491,136.1843,"",http://www.city.sabae.fukui.jp/users/ch/center/img/gaikan.jpg,https://www.city.sabae.fukui.jp/kosodate_site/tsudou/shiencenter.html,"",""
神明鳥羽地区　〜神明地区ハーフバースデイ事業〜,"",子育て,2021/07/20,2021/07/20,神明地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市神明公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
立待地区　〜ハーフバースデイ事業〜,"",子育て,2021/07/21,2021/07/21,立待地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市立待公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
中河地区　〜手形足型ぺったんこ＆パネルシアター〜,"",子育て,2021/07/21,2021/07/21,地区限定　申込制　　　＊申込・詳細・・・中河公民館（℡51-3102）,"",鯖江市中河公民館,10:00〜,10:00,"","",鯖江市中河公民館,0778-51-3102,"",鯖江市中河公民館,"",35.956213,136.208984,中河地区,http://www.city.sabae.fukui.jp/bin/000699-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/nakagawakominkan/nakagawakominkan.html,"",""
豊地区　〜手形足型とり〜,"",子育て,2021/07/21,2021/07/21,地区限定　申込制　　　＊　申込・詳細・・・豊公民館（℡62−1011）,"",鯖江市豊公民館,10:00〜,10:00,"","",鯖江市豊公民館,0778-62-1011,"",鯖江市豊公民館,"",35.945984,136.152168,豊地区,http://www.city.sabae.fukui.jp/bin/000722-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yutakakominkan/yutakakominkan.html,"",""
北中山地区　〜親子でタッチング〜,"",子育て,2021/07/30,2021/07/30,地区限定　講師：高橋有希子氏　　絵本の貸し出しもあります。　　詳細・・・北中山公民館（℡65−1001）,"",鯖江市北中山公民館,10:00〜,10:00,"","",鯖江市北中山公民館,0778-65-1001,"",鯖江市北中山公民館,"",35.95175,136.237798,"","",https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kitanakayama/kitanakayamakominkan.html,"",""
新横江地区　〜ハーフバースデイ事業〜,"",子育て,2021/07/30,2021/07/30,新横江地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市新横江公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
吉川地区　〜歯っぴー教室＆地区ですくすく育児相談〜,"",子育て,2021/07/30,2021/07/30,　地区限定　＊　申込・詳細・・・ 吉川公民館（℡62‐1020）へ,"",鯖江市吉川公民館,10:30〜,10:30,"","",鯖江市吉川公民館,0778-62-1020,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
神明鳥羽地区　〜鳥羽地区ハーフバースデイ事業〜,"",子育て,2021/08/02,2021/08/02,鳥羽地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市神明公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
立待地区　〜木のおもちゃで遊ぼう〜,"",子育て,2021/08/02,2021/08/02,地区限定　申込制　　　＊問合せ・・・立待公民館（℡51‐3376）,"",鯖江市立待公民館,10:00〜,10:00,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
神明鳥羽地区　〜神明地区ハーフバースデイ事業〜,"",子育て,2021/08/03,2021/08/03,神明地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市神明公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
鯖江地区　〜ハーフバースデイ事業〜,"",子育て,2021/08/04,2021/08/04,鯖江地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市子育て支援センターにじいろ,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市子育て支援センタ−にじいろ,"",35.9491,136.1843,"",http://www.city.sabae.fukui.jp/users/ch/center/img/gaikan.jpg,https://www.city.sabae.fukui.jp/kosodate_site/tsudou/shiencenter.html,"",""
子育て支援センター　スペシャルファミリーデー,"",子育て,2021/08/07,2021/08/07,秋ごろに延期,"",鯖江市子育て支援センターにじいろ,10:00〜,10:00,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市子育て支援センタ−にじいろ,"",35.9491,136.1843,"",http://www.city.sabae.fukui.jp/users/ch/center/img/gaikan.jpg,https://www.city.sabae.fukui.jp/kosodate_site/tsudou/shiencenter.html,"",""
鯖江地区　〜ハーフバースデイ事業〜,"",子育て,2021/08/10,2021/08/10,緊急事態宣言を受けて、延期となります。＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市子育て支援センターにじいろ,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市子育て支援センタ−にじいろ,"",35.9491,136.1843,"",http://www.city.sabae.fukui.jp/users/ch/center/img/gaikan.jpg,https://www.city.sabae.fukui.jp/kosodate_site/tsudou/shiencenter.html,"",""
立待地区　〜ハーフバースデイ事業〜,"",子育て,2021/08/18,2021/08/18,緊急事態宣言を受けて、延期となります。＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市立待公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
吉川地区　〜ハーフバースデイ事業〜,"",子育て,2021/08/20,2021/08/20,緊急事態宣言を受けて、延期となります。＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市吉川公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
吉川地区　〜ママの非常持ち出しグッズについて〜,"",子育て,2021/08/20,2021/08/20,緊急事態宣言を受けて、延期となります。,"",鯖江市吉川公民館,10:30〜,10:30,"","",鯖江市吉川公民館,0778-62-1020,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
新横江地区　〜ハーフバースデイ事業〜,"",子育て,2021/08/27,2021/08/27,新横江地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市新横江公民館,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
中河地区　〜ベビータッチング〜,"",子育て,2021/08/30,2021/08/30,緊急事態宣言を受けて、延期となります。,"",鯖江市中河公民館,10:00〜,10:00,"","",鯖江市中河公民館,0778-51-3102,"",鯖江市中河公民館,"",35.956213,136.208984,中河地区,http://www.city.sabae.fukui.jp/bin/000699-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/nakagawakominkan/nakagawakominkan.html,"",""
鯖江地区　〜ハーフバースデイ事業〜,"",子育て,2021/09/01,2021/09/01,鯖江地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市子育て支援センターにじいろ,10:30〜,10:30,"","",鯖江市子育て支援センタ−にじいろ,0778-51-3527,"",鯖江市子育て支援センタ−にじいろ,"",35.9491,136.1843,"",http://www.city.sabae.fukui.jp/users/ch/center/img/gaikan.jpg,https://www.city.sabae.fukui.jp/kosodate_site/tsudou/shiencenter.html,"",""
